** CONVERTED FROM SR2.edf using edfapi 3.1 Win32 Jul  4 2014 on Fri May 10 12:36:57 2024
** DATE: Fri May 10 12:43:14 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BJC
** SERIAL NUMBER: CLO-ZAA25
** CAMERA_CONFIG: ZAA25140.SCD
**

MSG	4890833 Scan start
MSG	4890839 RECCFG CR 250 2 2 R
MSG	4890839 ELCLCFG MLRR
MSG	4890839 GAZE_COORDS 0.00 0.00 1024.00 768.00
MSG	4890839 THRESHOLDS R 56 172
MSG	4890839 ELCL_PROC ELLIPSE  (5)
MSG	4890839 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4890840 !MODE RECORD CR 250 2 2 R
START	4890846 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
INPUT	4890846	255
SFIX R   4890846
4890846	  510.9	  382.9	 1000.0	...
4890850	  510.9	  382.9	 1000.0	...
4890854	  510.9	  382.9	 1000.0	...
4890858	  510.9	  382.9	 1000.0	...
4890862	  510.9	  382.9	 1000.0	...
4890866	  510.9	  382.9	 1000.0	...
4890870	  510.9	  382.9	 1000.0	...
4890874	  510.9	  382.9	 1000.0	...
4890878	  510.9	  382.9	 1000.0	...
4890882	  510.9	  382.9	 1000.0	...
4890886	  510.9	  382.9	 1000.0	...
4890890	  510.9	  382.9	 1000.0	...
4890894	  510.9	  382.9	 1000.0	...
4890898	  510.9	  382.9	 1000.0	...
4890902	  510.9	  382.9	 1000.0	...
4890906	  510.9	  382.9	 1000.0	...
4890910	  510.9	  382.9	 1000.0	...
4890914	  510.9	  382.9	 1000.0	...
4890918	  510.9	  382.9	 1000.0	...
4890922	  510.9	  382.9	 1000.0	...
4890926	  510.9	  382.9	 1000.0	...
4890930	  510.9	  382.9	 1000.0	...
4890934	  510.9	  382.9	 1000.0	...
4890938	  510.9	  382.9	 1000.0	...
4890942	  510.9	  382.9	 1000.0	...
4890946	  510.9	  382.9	 1000.0	...
4890950	  510.9	  382.9	 1000.0	...
4890954	  510.9	  382.9	 1000.0	...
4890958	  510.9	  382.9	 1000.0	...
4890962	  510.9	  382.9	 1000.0	...
4890966	  510.9	  382.9	 1000.0	...
4890970	  510.9	  382.9	 1000.0	...
4890974	  510.9	  382.9	 1000.0	...
4890978	  510.9	  382.9	 1000.0	...
4890982	  510.9	  382.9	 1000.0	...
4890986	  510.9	  382.9	 1000.0	...
4890990	  510.9	  382.9	 1000.0	...
4890994	  510.9	  382.9	 1000.0	...
4890998	  510.9	  382.9	 1000.0	...
4891002	  510.9	  382.9	 1000.0	...
4891006	  510.9	  382.9	 1000.0	...
