** CONVERTED FROM SR3.edf using edfapi 3.1 Win32 Jul  4 2014 on Fri May 10 12:27:53 2024
** DATE: Fri May 10 12:34:07 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.48 Nov 25 2009
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BJC
** SERIAL NUMBER: CLO-ZAA25
** CAMERA_CONFIG: ZAA25140.SCD
**

MSG	4333200 RECCFG CR 250 2 2 R
MSG	4333200 ELCLCFG MLRR
MSG	4333200 GAZE_COORDS 0.00 0.00 1024.00 768.00
MSG	4333200 THRESHOLDS R 56 172
MSG	4333200 ELCL_PROC ELLIPSE  (5)
MSG	4333200 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	4333201 !MODE RECORD CR 250 2 2 R
START	4333206 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	HREF	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 250.00	TRACKING	CR	FILTER	2
INPUT	4333206	255
SFIX R   4333206
4333206	  510.9	  382.9	 1000.0	...
4333210	  510.9	  382.9	 1000.0	...
4333214	  510.9	  382.9	 1000.0	...
4333218	  510.9	  382.9	 1000.0	...
4333222	  510.9	  382.9	 1000.0	...
4333226	  510.9	  382.9	 1000.0	...
4333230	  510.9	  382.9	 1000.0	...
4333234	  510.9	  382.9	 1000.0	...
4333238	  510.9	  382.9	 1000.0	...
4333242	  510.9	  382.9	 1000.0	...
4333246	  510.9	  382.9	 1000.0	...
4333250	  510.9	  382.9	 1000.0	...
4333254	  510.9	  382.9	 1000.0	...
4333258	  510.9	  382.9	 1000.0	...
4333262	  510.9	  382.9	 1000.0	...
4333266	  510.9	  382.9	 1000.0	...
4333270	  510.9	  382.9	 1000.0	...
4333274	  510.9	  382.9	 1000.0	...
4333278	  510.9	  382.9	 1000.0	...
4333282	  510.9	  382.9	 1000.0	...
4333286	  510.9	  382.9	 1000.0	...
4333290	  510.9	  382.9	 1000.0	...
4333294	  510.9	  382.9	 1000.0	...
4333298	  510.9	  382.9	 1000.0	...
4333302	  510.9	  382.9	 1000.0	...
4333306	  510.9	  382.9	 1000.0	...
4333310	  510.9	  382.9	 1000.0	...
4333314	  510.9	  382.9	 1000.0	...
4333318	  510.9	  382.9	 1000.0	...
4333322	  510.9	  382.9	 1000.0	...
4333326	  510.9	  382.9	 1000.0	...
4333330	  510.9	  382.9	 1000.0	...
4333334	  510.9	  382.9	 1000.0	...
4333338	  510.9	  382.9	 1000.0	...
4333342	  510.9	  382.9	 1000.0	...
4333346	  510.9	  382.9	 1000.0	...
4333350	  510.9	  382.9	 1000.0	...
4333354	  510.9	  382.9	 1000.0	...
4333358	  510.9	  382.9	 1000.0	...
4333362	  510.9	  382.9	 1000.0	...
4333366	  510.9	  382.9	 1000.0	...
4333370	  510.9	  382.9	 1000.0	...
